id,filename,relative_path,containing_directory,current_artist,guessed_artist,confidence,reason,updated
64,1-10 Shut Up And Dance.m4a,iTunes/Aerosmith/Young Lust [Disc 1]/1-10 Shut Up And Dance.m4a,Young Lust [Disc 1],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
65,1-11 Deuces Are Wild.m4a,iTunes/Aerosmith/Young Lust [Disc 1]/1-11 Deuces Are Wild.m4a,Young Lust [Disc 1],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
66,1-12 Walk On Water.m4a,iTunes/Aerosmith/Young Lust [Disc 1]/1-12 Walk On Water.m4a,Young Lust [Disc 1],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
67,1-13 Blind Man.m4a,iTunes/Aerosmith/Young Lust [Disc 1]/1-13 Blind Man.m4a,Young Lust [Disc 1],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
68,2-01 Let The Music Do The Talking.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-01 Let The Music Do The Talking.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
69,2-02 My Fist Your Face.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-02 My Fist Your Face.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
70,2-03 Shame On You.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-03 Shame On You.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
71,2-04 Heart's Done Time.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-04 Heart's Done Time.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
72,2-05 Rag Doll.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-05 Rag Doll.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
73,2-06 Dude (Looks Like A Lady).m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-06 Dude (Looks Like A Lady).m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
74,2-07 Angel.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-07 Angel.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
75,2-10 Young Lust.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-10 Young Lust.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
76,2-11 The Other Side.m4a,iTunes/Aerosmith/Young Lust [Disc 2]/2-11 The Other Side.m4a,Young Lust [Disc 2],,Aerosmith,0.95,artist folder after collection folder: iTunes,yes
604,04 Sweet Love.m4a,iTunes/Anita Baker/The Best Of Anita Baker/04 Sweet Love.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
605,05 Caught Up In The Rapture.m4a,iTunes/Anita Baker/The Best Of Anita Baker/05 Caught Up In The Rapture.m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
606,07 Same Ole Love (365 Days A Year).m4a,iTunes/Anita Baker/The Best Of Anita Baker/07 Same Ole Love (365 Days A Year).m4a,The Best Of Anita Baker,,Anita Baker,0.95,artist folder after collection folder: iTunes,yes
