file_id,action,reason,duplicate_key,artist,album,title,size_bytes,source_path,keep_path,quarantine_path
2669,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | rose,A Perfect Circle,Mer de Noms,Rose,4946842,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - Rose.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - Rose (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/03 - Rose.mp3
3891,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | rose,A Perfect Circle,Mer de Noms,Rose,4946842,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - Rose (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/03 - Rose (2).mp3,
2673,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | sleeping beauty,A Perfect Circle,Mer de Noms,Sleeping Beauty,6025803,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - Sleeping Beauty.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - Sleeping Beauty (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/07 - Sleeping Beauty.mp3
3895,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | sleeping beauty,A Perfect Circle,Mer de Noms,Sleeping Beauty,6025803,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - Sleeping Beauty (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/07 - Sleeping Beauty (2).mp3,
2667,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | the hollow,A Perfect Circle,Mer de Noms,The Hollow,4302516,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Hollow.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Hollow (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/01 - The Hollow.mp3
3889,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | the hollow,A Perfect Circle,Mer de Noms,The Hollow,4302516,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Hollow (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/01 - The Hollow (2).mp3,
2676,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | thinking of you,A Perfect Circle,Mer de Noms,Thinking Of You,6596318,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Thinking Of You.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Thinking Of You (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/10 - Thinking Of You.mp3
3898,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | thinking of you,A Perfect Circle,Mer de Noms,Thinking Of You,6596318,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Thinking Of You (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/10 - Thinking Of You (2).mp3,
2674,quarantine,"same metadata artist, album, and title as kept file",a perfect circle | mer de noms | thomas,A Perfect Circle,Mer de Noms,Thomas,5031478,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Thomas.mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Thomas (2).mp3,/mnt/d/Music/_Duplicate_Quarantine/08 - Thomas.mp3
3896,keep,largest file in duplicate metadata group,a perfect circle | mer de noms | thomas,A Perfect Circle,Mer de Noms,Thomas,5031478,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Thomas (2).mp3,/mnt/d/Music/_Sorted_By_Artist/A Perfect Circle/08 - Thomas (2).mp3,
